,name,location,x,y,geometry
0,Eni Station,"Via Lodovico Il Moro, 187",9.1261186,45.4389487,POINT (9.1261186 45.4389487)
1,Stazione di ricarica per veicolo elettrico,"Via, Via Menaggio",9.1249775,45.4460783,POINT (9.1249775 45.4460783)
2,evway Stazione di Ricarica,"Via Giambellino, 31",9.1495098,45.4507863,POINT (9.1495098 45.4507863)
3,Be Charge Stazione di Ricarica,"Via Carlo Bo, 11",9.1637721,45.4404075,POINT (9.1637721 45.4404075)
4,Be Charge Stazione di Ricarica,"Via Val Bavona, 21",9.1241478,45.4484082,POINT (9.1241478 45.4484082)
5,Be Charge Stazione di Ricarica,"Via Stendhal, 30",9.160221,45.4520943,POINT (9.160221 45.4520943)
6,Esselunga Stazione di Ricarica,"Via Giorgio Washington, 53",9.1550266,45.4609351,POINT (9.1550266 45.4609351)
7,Powy Charging Station,"Via Giambellino, 31",9.149831,45.451073,POINT (9.149831 45.451073)
8,Colonnina di ricarica per auto elettriche Driwe,"Via Tortona, 15",9.1672117,45.4531372,POINT (9.1672117 45.4531372)
9,Eni,"Via Figino, 41/A",9.0764629,45.5066094,POINT (9.0764629 45.5066094)
10,Next Charge Stazione di Ricarica,"Via Alfredo Pizzoni, 14",9.126528,45.497528,POINT (9.126528 45.497528)
11,Enel X Charging Station,"Via Giulio Confalonieri, 2",9.13903,45.5079029,POINT (9.13903 45.5079029)
12,Be Charge Stazione di Ricarica,"Via Gallarate, 40",9.138959,45.4948601,POINT (9.138959 45.4948601)
13,Next Charge Stazione di Ricarica,"Via Ludovico di Breme, 2",9.14036,45.4966921,POINT (9.14036 45.4966921)
14,A2A Stazione di Ricarica,"Via Fratelli Zoia, 1",9.109971,45.4689679,POINT (9.109971 45.4689679)
15,a2a Stazione di Ricarica,"Viale Certosa, 130",9.1400185,45.4954849,POINT (9.1400185 45.4954849)
16,Be Charge Charging Station,"Via delle Forze Armate, 49",9.1335415,45.4632478,POINT (9.1335415 45.4632478)
18,ENI Piazzale Lorenzo Lotto 14/a. GOMMISTA CONVENZIONATO ARVAL,"Piazzale Lorenzo Lotto, 14/a",9.143366,45.4807914,POINT (9.143366 45.4807914)
19,A2A Stazione di Ricarica,"Piazzale Stefano Türr, 4",9.1526852,45.4842658,POINT (9.1526852 45.4842658)
20,Be Charge Stazione di Ricarica,"Via Fratelli Salvioni, 6",9.1606881,45.4857336,POINT (9.1606881 45.4857336)
21,Next Charge Charging Station,"Via Leon Battista Alberti, 5",9.1578235,45.48375,POINT (9.1578235 45.48375)
22,EMOBITALY Charging Station,"Viale Certosa, 29",9.1512342,45.4891653,POINT (9.1512342 45.4891653)
23,A2A Stazione di ricarica,"Piazza Sei Febbraio, 24",9.1604599,45.4779204,POINT (9.1604599 45.4779204)
24,Enel X Charging Station,"Parking Milano IT, Viale Certosa, 22 - Lombarda",9.1522192,45.4901121,POINT (9.1522192 45.4901121)
25,Stazione di ricarica per veicolo elettrico,"Via Marco Ulpio Traiano, 77",9.1458312,45.490332,POINT (9.1458312 45.490332)
26,Porsche Destination Charging,"presso Enterprise Hotel, Corso Sempione, 91",9.157323,45.4868527,POINT (9.157323 45.4868527)
27,Eni Station,"Via Eritrea, 65",9.1369505,45.5119112,POINT (9.1369505 45.5119112)
29,Powy Charging Station,"Via Privata Angiolo Maffucci, 73",9.170018,45.503266,POINT (9.170018 45.503266)
31,A2A E-moving – Fast Charge DC-ACcharging station,"Via Giovanni Durando, 10",9.164164,45.504332,POINT (9.164164 45.504332)
32,Stazione di ricarica per veicolo elettrico,"Via Don Giuseppe Andreoli, 27",9.1607264,45.5032275,POINT (9.1607264 45.5032275)
35,Be Charge Charging Station,"Via Privata Roberto Bracco, 4",9.1846762,45.5000303,POINT (9.1846762 45.5000303)
36,Eni Station,"Via Comasina, Via Alessandro Litta Modignani, 19",9.1657669,45.5242627,POINT (9.1657669 45.5242627)
37,Stazione di Ricarica Veicoli Elettrici,"Via Luigi Ornato, 169",9.1915784,45.5274709,POINT (9.1915784 45.5274709)
38,Lidl Stazione di Ricarica,"Via Luigi Ornato, 148",9.1927269,45.5256886,POINT (9.1927269 45.5256886)
39,Be Charge Charging Station,"Via Guido da Velate, 11",9.19337,45.52389,POINT (9.19337 45.52389)
40,Be Charge Stazione di Ricarica,"Via Giuseppe di Vittorio, 23A",9.1911561,45.5347793,POINT (9.1911561 45.5347793)
41,Enel X Stazione di Ricarica,"Viale Italia, 39",9.2285204,45.5248353,POINT (9.2285204 45.5248353)
42,Be Charge Stazione di Ricarica,"Via XXV Aprile, 18",9.1978915,45.53591,POINT (9.1978915 45.53591)
43,Enel X Charging Station,"Piazza dell'Ospedale Maggiore, 3",9.1881852,45.5086997,POINT (9.1881852 45.5086997)
