,name,url,bedrooms,beds,bathrooms,reviews,price,x,y,rating
16938574,tipico monolocale marinaro Riviera Ligure,https://www.airbnb.it/rooms/16938574?adults=1&children=0&infants=0&check_in=2022-10-03&check_out=2022-10-08&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,1.0,2,1,125.0,88.0,,,4.8
713387525175092014,Casa MIA con splendida vista mare e giardino.,https://www.airbnb.it/rooms/713387525175092014?adults=1&children=0&infants=0&check_in=2022-10-11&check_out=2022-10-16&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,2.0,2,2,,75.0,,,
41277463,Paradiso a Bonassola vicino alle Cinqueterre,https://www.airbnb.it/rooms/41277463?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,3.0,4,2,18.0,111.0,9.5839,44.18318,4.44
5120219,Soggiorno in scogliera a Bonassola,https://www.airbnb.it/rooms/5120219?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-08&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,1.0,2,1,45.0,152.0,9.57355,44.18224,4.76
10464653,2 camere e cucina a 2 passi dal mar,https://www.airbnb.it/rooms/10464653?adults=1&children=0&infants=0&check_in=2022-10-05&check_out=2022-10-10&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,2.0,4,1,62.0,84.0,9.58369,44.18371,4.4
7111406,Villa degli Ulivi Bonassola - close to 5 Terre,https://www.airbnb.it/rooms/7111406?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,1.0,4,1,71.0,170.0,9.5856,44.1834,4.83
635213143850567152,"Mamma Mia, TerreMarine",https://www.airbnb.it/rooms/635213143850567152?adults=1&children=0&infants=0&check_in=2022-10-09&check_out=2022-10-15&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,2.0,2,1,7.0,172.0,9.583,44.1843,4.86
51568289,"la finestra sul mare
Vicino Levanto e 5 Terre",https://www.airbnb.it/rooms/51568289?adults=1&children=0&infants=0&check_in=2022-10-23&check_out=2022-10-28&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,1.0,3,1,17.0,81.0,9.58594,44.18304,4.65
44011022,Appartamento Blu 2 - Codice Citra 011005-LT-0166,https://www.airbnb.it/rooms/44011022?adults=1&children=0&infants=0&check_in=2022-10-02&check_out=2022-10-08&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,3.0,4,1,37.0,165.0,,,4.95
12110320,Agriturismo Cà du Ferrà Farm&Relax,https://www.airbnb.it/rooms/12110320?adults=1&children=0&infants=0&check_in=2022-10-12&check_out=2022-10-18&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,1.0,1,1,97.0,88.0,9.583,44.1863,4.46
29959243,Casa Valle ulivi c.c. 011005-LT-0072,https://www.airbnb.it/rooms/29959243?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-19&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,2.0,4,1,20.0,98.0,,,4.85
24150883,Bella Bonassola vicino alle Cinque Terre,https://www.airbnb.it/rooms/24150883?adults=1&children=0&infants=0&check_in=2022-10-15&check_out=2022-10-22&previous_page_section_name=1000&federated_search_id=2ee8e86d-6a22-4a17-8dd3-ae9aaa2446b2,1.0,2,1,21.0,126.0,,,4.9
